question_number,use_case_category,question_type,judge_recommended,requested_fields,gold_count,gold_company_count,gold_county_count,question
1,Supply Chain Mapping & Visibility,list_multi_filter,False,Category; EV Supply Chain Role; Product / Service,18,18,0,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service."
2,Supply Chain Mapping & Visibility,list_or_lookup,False,Category; EV Supply Chain Role,6,6,0,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?"
3,Supply Chain Mapping & Visibility,list_multi_filter,False,Primary OEMs; EV Supply Chain Role,5,5,0,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.
4,Supply Chain Mapping & Visibility,list_or_lookup,False,Category; Employment,4,4,0,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size."
5,Supply Chain Mapping & Visibility,list_multi_filter,False,Category; EV Supply Chain Role; Product / Service,,11,0,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?"
6,Supply Chain Mapping & Visibility,list_or_lookup,False,Primary Facility Type; Location,3,1,1,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?"
7,Supply Chain Mapping & Visibility,aggregation_ranking,False,EV Supply Chain Role; Employment; Location,,1,1,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?"
8,Supply Chain Mapping & Visibility,aggregation_ranking,False,Category; Employment; Location; EV Supply Chain Role,,0,1,Which county have the highest total Employment among Tier 1 suppliers only?
9,Supply Chain Mapping & Visibility,aggregation_ranking,False,Employment; Location,,0,1,"Which county has the highest total employment across all companies, and what is the combined employment in that county?"
10,Supply Chain Mapping & Visibility,list_multi_filter,False,Primary OEMs,10,10,0,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.
11,Supply Chain Mapping & Visibility,list_or_lookup,False,Product / Service,3,1,1,Identify the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia.
12,Supply Chain Mapping & Visibility,list_multi_filter,False,Category; EV Supply Chain Role,3,3,0,List all Tier 2/3 companies in Georgia with primary involvement in the electric vehicle or battery supply chain and specify their respective roles.
13,Supply Chain Mapping & Visibility,list_or_lookup,False,Category; EV Supply Chain Role; Primary OEMs,,6,0,"Show the full supplier network linked to Rivian Automotive in Georgia, broken down by tier and EV Supply Chain Role."
14,Supply Chain Mapping & Visibility,list_multi_filter,False,EV Supply Chain Role; Primary OEMs,2,2,0,Identify all Georgia companies with an EV Supply Chain Role related to wiring harnesses and show their Primary OEMs.
15,Supplier Discovery & Matchmaking,list_or_lookup_judge_recommended,True,Category; Industry Group,0,0,0,Identify Georgia Tier 2/3 companies in the Electronic and Electrical Equipment industry group that could be upgraded to supply EV power electronics.
16,Supplier Discovery & Matchmaking,list_multi_filter_judge_recommended,True,Product / Service,1,1,0,Find Georgia-based companies that manufacture copper foil or electrodeposited materials suitable for EV battery current collectors.
17,Supplier Discovery & Matchmaking,list_or_lookup,False,Category; Product / Service,,0,0,"Which Georgia Tier 1/2 companies produce engineered plastics, polymers, or composite materials applicable to EV structural or thermal components?"
18,Supplier Discovery & Matchmaking,list_or_lookup,False,Category; Product / Service,5,5,0,"Identify Georgia companies producing DC-to-DC converters, capacitors, or power electronics components and what tier is each assigned?"
19,Supplier Discovery & Matchmaking,list_or_lookup,False,Category; Product / Service,1,1,0,"Which Georgia companies provide powder coating-related products or services, and what tier are they classified under?"
20,Supplier Discovery & Matchmaking,list_or_lookup,False,Category; EV Supply Chain Role; Product / Service; Primary OEMs,6,6,0,"Which Georgia companies are classified under Battery Cell/Battery Pack roles or battery-related products and are Tier 1/2, making them ready for direct OEM engagement and show which Primary OEMs they are linked to."
21,Supplier Discovery & Matchmaking,list_multi_filter,False,Category; Product / Service; Employment; EV Supply Chain Role,5,5,0,Find Tier 2/3 Georgia-based suppliers with employment over 300 that are classified as General Automotive but produce components transferable to EV platforms.
22,Supplier Discovery & Matchmaking,list_or_lookup,False,Category; Product / Service; Industry Group,2,2,0,Identify Georgia Tier 2/3 companies in the Chemicals and Allied Products industry group and list their products.
23,Supply Chain Risk & Resilience,list_or_lookup_judge_recommended,True,EV Supply Chain Role,28,25,0,"Which EV Supply Chain Roles in Georgia are served by only a single company, creating a single-point-of-failure risk for the state's EV ecosystem?"
24,Supply Chain Risk & Resilience,list_or_lookup_judge_recommended,True,EV Supply Chain Role; Primary OEMs,6,6,0,"Which Georgia Battery Cell or Battery Pack suppliers are sole-sourced by a specific OEM, indicating high dependency risk?"
25,Supply Chain Risk & Resilience,count_judge_recommended,True,Primary OEMs; Employment; EV Supply Chain Role,6,6,0,"For Hyundai Metaplant, how many of its Georgia-based EV component suppliers have fewer than 200 employees, flagging potential capacity fragility?"
26,Supply Chain Risk & Resilience,list_or_lookup,False,Category; EV / Battery Relevant; EV Supply Chain Role,2,2,0,Identify Georgia Tier 2/3 suppliers that are EV Relevant and classified as General Automotive.
27,Supply Chain Risk & Resilience,list_multi_filter,False,Category; Primary OEMs; EV Supply Chain Role,11,11,0,Identify all Georgia-based Tier 1/2 automotive suppliers that maintain a diversified customer base (serving 'Multiple OEMs').
28,Supply Chain Risk & Resilience,list_or_lookup,False,EV Supply Chain Role; Product / Service; Employment,3,3,0,Identify Georgia companies in the Thermal Management or Power Electronics role with fewer than 200 employees - their small scale may limit surge production capacity.
29,Supply Chain Risk & Resilience,list_or_lookup,False,Category; Primary OEMs; EV / Battery Relevant,23,23,0,Identify any EV-relevant Georgia companies classified as OEM Footprint or OEM Supply Chain?
30,Supply Chain Mapping & Visibility,aggregation_ranking_judge_recommended,True,Employment,10,10,0,"Top 10 Georgia companies based on employment size that supply both General Automotive and EV-specific components, indicating transition readiness?"
31,Product & Technology Trends,list_or_lookup,False,Category; Product / Service; EV / Battery Relevant; EV Supply Chain Role,7,7,0,Which Georgia Tier 2/3 suppliers currently produce lightweight aluminum or composite materials and are ev relevant or indirectly ev relevant?
32,Product & Technology Trends,list_or_lookup,False,Product / Service,1,1,0,"Identify Georgia companies whose product descriptions include 'high-voltage', 'DC-to-DC', 'inverter', or 'motor controller' — these signal EV powertrain electronics growth."
33,Product & Technology Trends,list_or_lookup_judge_recommended,True,Employment; EV / Battery Relevant,3,3,0,"Which Georgia automotive companies employ over 1,000 workers but are currently categorized as only ""Indirectly Relevant"" to the EV sector, indicating a massive workforce pool ready for a strategic pivot?"
34,Product & Technology Trends,aggregation_ranking,False,Employment,4,4,0,"Which four Georgia companies have the largest employment in EV thermal management, and how many employees does each have?"
35,Product & Technology Trends,list_multi_filter,False,EV Supply Chain Role; Product / Service; Primary Facility Type,5,5,0,"Which companies are involved in thermal-related products or services, and what roles and facility types are they associated with?"
36,Product & Technology Trends,list_or_lookup,False,Category,11,11,0,Which Tier 1/2 Georgia companies listed under General Automotive?
37,Product & Technology Trends,list_or_lookup,False,Employment; EV Supply Chain Role,5,5,0,How is demand for thermal management solutions reflected in the number and employment size of Georgia Thermal Management suppliers?
38,Product & Technology Trends,list_or_lookup_judge_recommended,True,,2,2,0,"Which Georgia companies are involved in battery recycling or second-life battery processing, reflecting the emerging circular economy trend?"
39,Product & Technology Trends,list_or_lookup_judge_recommended,True,EV Supply Chain Role; Primary Facility Type,1,1,0,"Which Georgia supplier appears to play an innovation-stage role through research, development, or prototyping activity?"
40,Product & Technology Trends,list_or_lookup_judge_recommended,True,Primary OEMs; EV Supply Chain Role,5,5,0,"Which Georgia suppliers currently serving traditional OEMs are also linked to EV-native OEMs, showing dual-platform supply capability?"
41,Site Selection & Expansion Planning,lookup,False,Location,2,2,2,"For an international battery materials company seeking a Georgia location, which areas have existing chemical manufacturing infrastructure?"
42,Site Selection & Expansion Planning,list_or_lookup_judge_recommended,True,Primary Facility Type; Location,1,1,1,"Which Georgia areas have R&D facility types in the automotive sector, suggesting innovation infrastructure suitable for EV technology development centers?"
