arm,model_name,question_number,mention_text,classification,sources,matched_kb_company,similarity,matched_field,matched_value
direct_context,base,2,Weitzman LLC,true_out_of_kb_hallucination,answer_prose,Linde + Wiemann,0.4762,,
direct_context,base,6,Novelis Inc,known_kb_company,answer_prose,Novelis Inc.,1.0,,
direct_context,base,6,North America,kb_supported_non_company_field,answer_prose,,,Primary OEMs,porsche cars north america inc
direct_context,base,6,Asia. Novelis Inc,known_kb_company,answer_prose,Novelis Inc.,1.0,,
direct_context,base,11,Sewon America Inc,known_kb_company,answer_prose,Sewon America Inc.,1.0,,
direct_context,base,13,Battery Pack Manufacturing,true_out_of_kb_hallucination,answer_prose,Beaver Manufacturing Co. Inc.,0.7826,,
direct_context,base,16,Georgia Copper Foil Company,true_out_of_kb_hallucination,answer_prose,ACM Georgia LLC,0.4667,,
direct_context,base,17,Covestro LLC,true_out_of_kb_hallucination,answer_prose,Novelis Inc.,0.5333,,
direct_context,base,18,Southern Company,known_kb_company,answer_prose,Jefferson Southern Corporation,partial,,
direct_context,base,23,Electrify America,not_a_company_phrase,answer_prose,,,,
direct_context,base,27,BorgWarner Inc,true_out_of_kb_hallucination,answer_prose,Morgan Corp.,0.625,,
direct_context,base,28,Thermacore Inc,true_out_of_kb_hallucination,answer_prose,Thermal Ceramics Inc.,0.6154,,
direct_context,base,28,Thermotek Inc,true_out_of_kb_hallucination,answer_prose,Thermal Ceramics Inc.,0.48,,
direct_context,base,28,Thermal Solutions Inc,true_out_of_kb_hallucination,answer_prose,DAEHAN Solution Georgia LLC,0.55,,
direct_context,base,28,Thermcraft Inc,true_out_of_kb_hallucination,answer_prose,Thermal Ceramics Inc.,0.6154,,
direct_context,base,28,Power Electronics Inc,true_out_of_kb_hallucination,answer_prose,TCI Powder Coatings,0.5556,,
direct_context,base,28,Power Electronics Systems,true_out_of_kb_hallucination,answer_prose,Global Powertrain Systems LLC,0.64,,
direct_context,base,28,Power Electronics Solutions Inc,true_out_of_kb_hallucination,answer_prose,Murata Electronics North America Inc.,0.5763,,
direct_context,base,30,Toyota Motor Manufacturing,misspelled_kb_company,answer_prose,Yamaha Motor Manufacturing Corp.,0.8462,,
direct_context,base,30,Honda Manufacturing,misspelled_kb_company,answer_prose,Suhner Manufacturing Corp.,0.8205,,
direct_context,base,30,Nissan North America,not_a_company_phrase,answer_prose,,,,
direct_context,base,30,Hyundai Motor Manufacturing,known_kb_company,answer_prose,Hyundai Motor Group,1.0,,
direct_context,base,30,Kia Motors Manufacturing,misspelled_kb_company,answer_prose,Yamaha Motor Manufacturing Corp.,0.84,,
direct_context,base,30,BMW Manufacturing,true_out_of_kb_hallucination,answer_prose,Beaver Manufacturing Co. Inc.,0.8108,,
direct_context,base,30,Ford Motor Company,true_out_of_kb_hallucination,answer_prose,FOX Factory,0.5714,,
direct_context,base,34,Georgia Power Company,true_out_of_kb_hallucination,answer_prose,ACM Georgia LLC,0.5833,,
direct_context,base,36,Ford Motor Company,true_out_of_kb_hallucination,answer_prose,FOX Factory,0.5714,,
