company,field,expected_values,field_value_score,field_value_present,arm,model_name,question_number
F&P Georgia Manufacturing,Category,Tier 1/2,1.0,True,direct_context,base,1
F&P Georgia Manufacturing,EV Supply Chain Role,Battery Pack,0.0,False,direct_context,base,1
F&P Georgia Manufacturing,Product / Service,Lithium-ion battery recycler and raw materials provider,0.125,False,direct_context,base,1
Fouts Brothers Fire Equipment,Category,Tier 1/2,1.0,True,direct_context,base,1
Fouts Brothers Fire Equipment,EV Supply Chain Role,General Automotive,0.0,False,direct_context,base,1
Fouts Brothers Fire Equipment,Product / Service,"Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units",0.174,False,direct_context,base,1
Hitachi Astemo,Category,Tier 1/2,1.0,True,direct_context,base,1
Hitachi Astemo,EV Supply Chain Role,General Automotive,0.0,False,direct_context,base,1
Hitachi Astemo,Product / Service,Car audio systems,0.0,False,direct_context,base,1
Hitachi Astemo Americas Inc.,Category,Tier 1/2,1.0,True,direct_context,base,1
Hitachi Astemo Americas Inc.,EV Supply Chain Role,Battery Cell,0.0,False,direct_context,base,1
Hitachi Astemo Americas Inc.,Product / Service,Battery cells for electric mobility,0.0,False,direct_context,base,1
Hollingsworth & Vose Co.,Category,Tier 1/2,1.0,True,direct_context,base,1
Hollingsworth & Vose Co.,EV Supply Chain Role,Battery Pack,0.0,False,direct_context,base,1
Hollingsworth & Vose Co.,Product / Service,Lithium-ion battery materials,0.0,False,direct_context,base,1
Honda Development & Manufacturing,Category,Tier 1/2,1.0,True,direct_context,base,1
Honda Development & Manufacturing,EV Supply Chain Role,Battery Cell,0.0,False,direct_context,base,1
Honda Development & Manufacturing,Product / Service,Battery cells for electric mobility,0.0,False,direct_context,base,1
Hwashin,Category,Tier 1/2,1.0,True,direct_context,base,1
Hwashin,EV Supply Chain Role,General Automotive,0.0,False,direct_context,base,1
Hwashin,Product / Service,Modules and storage systems,0.25,False,direct_context,base,1
Hyundai & LG Energy Solution (LGES),Category,Tier 1/2,1.0,True,direct_context,base,1
Hyundai & LG Energy Solution (LGES),EV Supply Chain Role,General Automotive,0.0,False,direct_context,base,1
Hyundai & LG Energy Solution (LGES),Product / Service,Storage batteries,0.0,False,direct_context,base,1
Hyundai Industrial Co.,Category,Tier 1/2,1.0,True,direct_context,base,1
Hyundai Industrial Co.,EV Supply Chain Role,General Automotive,0.0,False,direct_context,base,1
Hyundai Industrial Co.,Product / Service,Automotive batteries,0.0,False,direct_context,base,1
Hyundai MOBIS (Georgia),Category,Tier 1/2,1.0,True,direct_context,base,1
Hyundai MOBIS (Georgia),EV Supply Chain Role,General Automotive,0.0,False,direct_context,base,1
Hyundai MOBIS (Georgia),Product / Service,"Capacitors, electronic automotive components",0.0,False,direct_context,base,1
Hyundai Motor Group,Category,Tier 1/2,1.0,True,direct_context,base,1
Hyundai Motor Group,EV Supply Chain Role,Battery Pack,0.0,False,direct_context,base,1
Hyundai Motor Group,Product / Service,Battery parts for electric vehicles,0.0,False,direct_context,base,1
Hyundai Transys Georgia Powertrain,Category,Tier 1/2,1.0,True,direct_context,base,1
Hyundai Transys Georgia Powertrain,EV Supply Chain Role,Thermal Management,0.0,False,direct_context,base,1
Hyundai Transys Georgia Powertrain,Product / Service,"Electrical heaters, control units, and actuators",0.167,False,direct_context,base,1
Hyundai Transys Georgia Seating Systems,Category,Tier 1/2,1.0,True,direct_context,base,1
Hyundai Transys Georgia Seating Systems,EV Supply Chain Role,General Automotive,0.0,False,direct_context,base,1
